#   size (B)   time (ms)
        1024        25.7
        2048        23.5
        4096        23.5
        8192        23.4
       16384        23.1
       32768        23.3
       65536        73.2
      131072        74.2
      262144        78.7
      524288        98.5
     1048576       103.9
     2097152       124.7
     4194304       390.0
     8388608       469.3
    16777216       472.3
