#   size (B)   time (ms)
        1024        26.8
        2048        23.5
        4096        23.4
        8192        22.9
       16384        22.9
       32768        22.8
       65536        74.3
      131072        72.9
      262144        77.9
      524288        96.7
     1048576       103.8
     2097152       110.9
     4194304       410.8
     8388608       470.7
    16777216       477.6
