#   size (B)   time (ms)
        1024       292.1
        2048       258.7
        4096       250.4
        8192       247.5
       16384       255.4
       32768       258.8
       65536       252.9
      131072       253.0
      262144       256.2
      524288       258.3
     1048576       266.8
     2097152       275.4
     4194304       411.8
     8388608       489.1
    16777216       481.4
