#   size (B)   time (ms)
        1024        58.6
        2048        22.6
        4096        23.3
        8192        23.5
       16384        23.1
       32768        23.5
       65536        74.5
      131072        74.4
      262144        80.6
      524288        94.1
     1048576       103.8
     2097152       128.8
     4194304       399.6
     8388608       470.9
    16777216       477.3
