#   size (B)   time (ms)
        1024        35.8
        2048        23.4
        4096        23.0
        8192        22.6
       16384        23.0
       32768        23.1
       65536        72.9
      131072        74.1
      262144        80.1
      524288        98.9
     1048576       104.1
     2097152       142.1
     4194304       395.9
     8388608       472.0
    16777216       474.2
